time,pnl,equity,side,enter,exit
2022-01-07 07:15:00+00:00,-0.0030370323514751297,9999.922410748946,1,,tp/sl
2022-01-07 07:15:00+00:00,-3.7055872243832e-05,9999.922373693074,1,y,
2022-01-07 07:16:00+00:00,-3.704041510086345e-05,9999.922336652658,1,y,
2022-01-07 07:17:00+00:00,-0.0030370004462283925,9999.919299652212,1,,tp/sl
2022-01-07 07:18:00+00:00,-0.003036980215436746,9999.916262671997,1,,tp/sl
2022-01-07 07:19:00+00:00,-3.697954984743413e-05,9999.916225692446,-1,y,
2022-01-07 07:22:00+00:00,-0.003036995602555951,9999.913188696844,-1,,tp/sl
2022-01-07 07:23:00+00:00,-3.700693982112257e-05,9999.913151689905,-1,y,
2022-01-07 07:25:00+00:00,-3.700004975312548e-05,9999.913114689856,-1,y,
2022-01-07 07:26:00+00:00,-3.69826006827944e-05,9999.913077707255,-1,y,
2022-01-07 07:27:00+00:00,0.003963030968684249,9999.917040738224,-1,,tp/sl
2022-01-07 07:27:00+00:00,0.003963030954018158,9999.92100376918,-1,,tp/sl
2022-01-07 07:27:00+00:00,0.003963030939354797,9999.92496680012,-1,,tp/sl
2022-01-07 07:32:00+00:00,-3.683472020268386e-05,9999.924929965398,-1,y,
2022-01-07 07:34:00+00:00,0.00396318958580362,9999.928893154984,-1,,tp/sl
2022-01-07 07:41:00+00:00,-3.682159842870994e-05,9999.928856333385,-1,y,
2022-01-07 07:42:00+00:00,-3.682628006955192e-05,9999.928819507104,-1,y,
2022-01-07 07:43:00+00:00,-3.68019061715021e-05,9999.928782705198,-1,y,
2022-01-07 07:45:00+00:00,-0.0030368102159292,9999.925745894981,-1,,tp/sl
2022-01-07 07:46:00+00:00,0.003963180248602938,9999.92970907523,-1,,tp/sl
2022-01-07 07:46:00+00:00,0.003963180234009771,9999.933672255464,-1,,tp/sl
2022-01-08 07:00:00+00:00,-3.494413732843285e-05,9999.933637311326,1,y,
2022-01-08 07:01:00+00:00,-3.492623316471295e-05,9999.933602385092,1,y,
2022-01-08 07:02:00+00:00,-0.0030348964721856066,9999.93056748862,1,,tp/sl
2022-01-08 07:04:00+00:00,0.003965018182810263,9999.934532506802,1,,tp/sl
2022-01-08 07:05:00+00:00,-3.4962577440377e-05,9999.934497544225,1,y,
2022-01-08 07:06:00+00:00,0.003964982759979357,9999.938462526985,1,,tp/sl
2022-01-08 07:06:00+00:00,-3.499316676190038e-05,9999.938427533818,1,y,
2022-01-08 07:07:00+00:00,0.003964948781946944,9999.9423924826,1,,tp/sl
2022-01-08 07:07:00+00:00,-3.5028716816957595e-05,9999.942357453883,1,y,
2022-01-08 07:08:00+00:00,-3.5051600075784846e-05,9999.942322402283,1,y,
2022-01-08 07:09:00+00:00,-3.503628828057633e-05,9999.942287365995,1,y,
2022-01-08 07:10:00+00:00,-3.505014878556818e-05,9999.942252315846,1,y,
2022-01-08 07:11:00+00:00,0.003964914908224282,9999.946217230754,1,,tp/sl
2022-01-08 07:11:00+00:00,-3.5064162167891124e-05,9999.946182166592,1,y,
2022-01-08 07:12:00+00:00,-0.0030350230566348188,9999.943147143535,1,,tp/sl
2022-01-08 07:12:00+00:00,-3.504128069625834e-05,9999.943112102254,1,y,
2022-01-08 07:13:00+00:00,-0.003034977919304874,9999.940077124334,1,,tp/sl
2022-01-08 07:13:00+00:00,-0.003034977908666729,9999.937042146426,1,,tp/sl
2022-01-08 07:13:00+00:00,-0.0030349778980332314,9999.93400716853,1,,tp/sl
2022-01-08 07:13:00+00:00,-0.0030349781589753206,9999.93097219037,1,,tp/sl
2022-01-08 07:14:00+00:00,-3.494068810114143e-05,9999.930937249683,1,y,
2022-01-08 07:15:00+00:00,-3.494264055536468e-05,9999.930902307042,1,y,
2022-01-08 07:16:00+00:00,-3.495097236149364e-05,9999.93086735607,1,y,
2022-01-08 07:17:00+00:00,-0.0030348951383445287,9999.927832460931,1,,tp/sl
2022-01-08 07:17:00+00:00,-0.0030348951277403237,9999.924797565804,1,,tp/sl
2022-01-08 07:17:00+00:00,-0.0030348951171355254,9999.921762670687,1,,tp/sl
